country,sender nationality,reciever nationality,debit,credit
OM,LB,OM,8.64,0.0
OM,LB,OM,11.4,0.0
OM,DE,OM,7.52,0.0
OM,JO,OM,3.54,0.0
OM,PK,OM,2.2,0.0
OM,PK,OM,1.75,0.0
OM,PK,OM,2.47,0.0
OM,OM,OM,15.8,0.0
OM,OM,OM,30.99,0.0
OM,PK,OM,4.34,0.0
OM,OM,OM,12.77,0.0
OM,OM,OM,48.28,0.0
OM,OM,OM,104.1,0.0
AE,OM,AE,496.6,0.0
OM,OM,OM,8.39,0.0
OM,OM,OM,9.4,0.0
OM,OM,OM,1.2,0.0
LU,OM,LU,38.5,0.0
OM,OM,OM,13.92,0.0
AE,OM,AE,173.81,0.0
AE,OM,AE,74.87,0.0
OM,OM,OM,13.5,0.0
OM,IN,OM,7.64,0.0
OM,IN,OM,4.79,0.0
OM,IN,OM,6.35,0.0
OM,IN,OM,14.9,0.0
SG,OM,SG,6.87,0.0
SG,OM,SG,9.4,0.0
SG,OM,SG,3.7,0.0
SG,OM,SG,3.14,0.0
SG,OM,SG,3.53,0.0
SG,OM,SG,5.26,0.0
SG,OM,SG,36.75,0.0
SG,OM,SG,17.39,0.0
OM,OM,OM,12.5,0.0
OM,OM,OM,12.6,0.0
OM,OM,OM,10.7,0.0
OM,OM,OM,14.53,0.0
OM,OM,OM,4.8,0.0
OM,OM,OM,13.4,0.0
AE,OM,AE,81.2,0.0
OM,OM,OM,0.6,0.0
OM,OM,OM,0.8,0.0
OM,OM,OM,0.4,0.0
OM,OM,OM,1.93,0.0
OM,OM,OM,13.2,0.0
OM,OM,OM,0.52,0.0
OM,OM,OM,1.5,0.0
OM,OM,OM,0.85,0.0
OM,OM,OM,120.24,0.0
PL,OM,PL,9.82,0.0
OM,OM,OM,2.0,0.0
OM,OM,OM,17.3,0.0
OM,OM,OM,3.59,0.0
OM,OM,OM,3.1,0.0
OM,OM,OM,0.5,0.0
OM,OM,OM,10.0,0.0
OM,OM,OM,0.79,0.0
OM,OM,OM,16.0,0.0
OM,OM,OM,20.0,0.0
OM,OM,OM,1.3,0.0
OM,OM,OM,0.8,0.0
TH,OM,TH,18.91,0.0
DE,GB,DE,15.09,0.0
OM,EG,OM,5.35,0.0
OM,EG,OM,46.0,0.0
OM,EG,OM,2.0,0.0
OM,EG,OM,2.0,0.0
OM,OM,OM,24.36,0.0
OM,OM,OM,3.66,0.0
OM,OM,OM,1.08,0.0
OM,OM,OM,2.42,0.0
OM,OM,OM,4.03,0.0
OM,OM,OM,2.0,0.0
OM,OM,OM,1.75,0.0
OM,IN,OM,18.0,0.0
US,LK,US,0.79,0.0
OM,JO,OM,3.49,0.0
AE,OM,AE,84.9,0.0
OM,OM,OM,12.7,0.0
AE,OM,AE,36.9,0.0
OM,OM,OM,6.54,0.0
AE,IN,AE,3.74,0.0
AE,IN,AE,106.96,0.0
LU,JO,LU,87.9,0.0
OM,PK,OM,7.65,0.0
OM,OM,OM,0.9,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,1.12,0.0
OM,SD,OM,1.67,0.0
OM,JO,OM,16.56,0.0
OM,GB,OM,2.6,0.0
OM,GB,OM,4.77,0.0
OM,JO,OM,20.33,0.0
AE,JO,AE,3.85,0.0
OM,IN,OM,3.0,0.0
OM,IN,OM,0.6,0.0
OM,MA,OM,2.4,0.0
OM,OM,OM,2.7,0.0
OM,JO,OM,2.95,0.0
OM,JO,OM,3.43,0.0
OM,IN,OM,1.07,0.0
OM,IN,OM,144.89,0.0
OM,EG,OM,10.7,0.0
OM,OM,OM,6.3,0.0
OM,PK,OM,34.42,0.0
OM,PK,OM,1.0,0.0
OM,EG,OM,4.45,0.0
OM,EG,OM,2.0,0.0
OM,EG,OM,3.0,0.0
GB,OM,GB,14.86,0.0
GB,OM,GB,14.86,0.0
GB,OM,GB,14.86,0.0
GB,OM,GB,14.86,0.0
OM,TR,OM,15.87,0.0
OM,OM,OM,16.29,0.0
FR,IN,FR,3.18,0.0
FR,IN,FR,1.85,0.0
OM,OM,OM,1.0,0.0
OM,OM,OM,4.62,0.0
OM,OM,OM,1.0,0.0
OM,OM,OM,7.2,0.0
OM,EG,OM,23.37,0.0
AE,OM,AE,14.44,0.0
AE,OM,AE,1.5,0.0
AE,OM,AE,238.12,0.0
AE,JO,AE,8.51,0.0
AE,JO,AE,0.43,0.0
AE,JO,AE,6.17,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,11.8,0.0
